1,1fop2fug,Chat,2,2,1,Stop,4,Baseline,stop
2,sxdrrqqq,Chat,2,1,1,,,Baseline,continue
3,yxo0mntn,Chat,2,2,4,,,Linear,Continue till the end hoping in the next round it gets swapped around
4,vz8p85fp,Chat,2,2,5,Continue,end,Linear,I will continue until the last round because that is what we agreed on.
5,h5iqkkav,Chat,2,2,3,Continue,end,Linear,continue to end. we came to a consensus.
6,m1xeiym0,Chat,2,1,3,Continue,end,Linear,will go the distance - will go till the end
7,dc0r4n9w,Chat,2,1,4,Stop,3,Linear,I will chose the highest number
8,bzhcm769,Chat,2,1,2,,,Linear,continue
9,8apo3cgi,Chat,2,2,8,,,Zero,stop at 8
10,of1g2i7n,Chat,2,1,6,Stop,10,Zero,I am not sure. Maybe I should go easy this time and see what can I get.
11,gqdmt2ct,Chat,2,2,6,,,Zero,Continue till the end.
12,ptg4p4bq,Chat,2,2,7,stop,6,Zero,stop at 6
13,qy86l5ms,Chat,2,1,8,stop,1,Zero,I will be the decision maker
14,gy8umpec,Chat,2,1,7,,,Zero,Continue
15,utihjbe3,Chat,2,1,5,Continue,end,Linear,me as well will continue
16,s1rh1hok,Chat,2,2,2,Stop,8,Linear,"I will stop at round 8, as agreed with my partner so that we overall receive the same amounts"
,,,,,,,,,
1,b5p4dfvx,Chat,2,2,4,,,Linear,I will stop at the 8th round.
2,eqn99yd1,Chat,2,2,3,,,Linear,hope stop at 8
3,7uaz1zmn,Chat,2,1,2,Stop,7,Baseline,Stop at 7
4,i1zxx0cy,Chat,2,1,1,stop,7,Baseline,stop at 7
5,y8cgtqtu,Chat,2,1,7,,,Zero,stop at stage 8
6,asoz551b,Chat,2,2,8,stop,8,Zero,stop at 8
7,jrb2fq24,Chat,2,1,4,Stop,7,Linear,Stop at 7
8,1ak8jpsi,Chat,2,2,6,Stop,8,Linear,Stop at 8
9,8l13ucda,Chat,2,2,1,,,Baseline,stop at 8
10,7gq20tln,Chat,2,2,2,,,Baseline,stop at 8
11,5vsk781d,Chat,2,1,5,Stop,5,Linear,Stop at #5
12,3cjpvgsh,Chat,2,2,5,,,Linear,I'm not sure
13,5qgljvdo,Chat,2,2,7,stop,8,Zero,stop on stage 8 as discussed
14,cy6hd3fl,Chat,2,1,8,,,Zero,stop at 8
15,z4awa59k,Chat,2,1,3,Stop,3,Linear,not sure
16,ychjeid8,Chat,2,1,6,,,Linear,Try and get to finish.
,,,,,,,,,
1,q5dympb9,No Chat,2,1,7,Stop,3,Linear,stop at 3
2,iej3wiqs,No Chat,2,1,3,,,Linear,Continue and stop at round 5
3,izp0ens7,No Chat,2,1,5,,,Linear,I will also pass till rounds 5 or 7 and stop there depending on the situation because they guarentee the maximum pay-off
4,o2x4xwdw,No Chat,2,2,7,,,Linear,I will stop at 4 because its highly likely the participant will stop at 5 leaving me with a lower payoffs
5,siwe72ta,No Chat,2,1,2,,,Baseline,I will try to cooperate with the person and we get high payments alternately.
6,m0rglibi,No Chat,2,2,2,Stop,8,Baseline,stop at 6
7,cebne6fm,No Chat,2,1,10,,,Zero,pass and stop at 8
8,8b7gpazh,No Chat,2,2,8,,,Zero,"i will just go 6 because at 6 , the other one will stop at 7,which will decrease my payoff"
9,5qmg1euf,No Chat,2,1,8,Stop,7,Zero,attempt to take on round 5 because the round 6 risk is not worth it because my payout goes down.
10,mwnx2jmr,No Chat,2,2,9,Stop,6,Zero,continue
11,wk89oazu,No Chat,2,1,4,,,Linear,take at 5
12,e4nxw0n7,No Chat,2,2,6,,,Linear,stop at the same point if i can pass till the 5th round
13,388zde2f,No Chat,2,2,1,,,Baseline,will stop at round 8
14,l51m5q34,No Chat,2,1,1,Stop,7,Baseline,Not to pass at round 7.
15,ukh5d12t,No Chat,2,2,5,Stop,4,Linear,I will most likely stop on round 4 before the other participant (likely) stops on round 5
16,a19uagf9,No Chat,2,2,4,Stop,4,Linear,"Either stop at round 4, 6 or 8."
17,0ijo73ag,No Chat,2,1,9,,,Zero,stop at 7
18,jq0hzdiq,No Chat,2,2,10,Stop,2,Zero,Stop.
19,6ixnjwji,No Chat,2,2,3,Stop,4,Linear,I will take 4
20,81kuxwzk,No Chat,2,1,6,Stop,5,Linear,I'll try to stop at round 5
,,,,,,,,,
1,jn8g7l7n,No Chat,2,1,2,,,Baseline,Stop at round 5
2,51junihe,No Chat,2,1,3,,,Baseline,i ll go for the 64 or 256
3,pq2la6sg,No Chat,2,2,3,Stop,6,Baseline,Am stopping at Round 6
4,5k9ox5nd,No Chat,2,2,2,Stop,4,Baseline,I will stop at 4
5,z5e15miq,No Chat,2,2,8,Stop,8,Zero,I will continue for as long as possible.
6,m042ko9i,No Chat,2,1,8,,,Zero,I will continue with the rounds.
7,uz9vuj33,No Chat,2,2,5,Stop,6,Zero,stop at round 4
8,sdjz7rnn,No Chat,2,1,6,,,Zero,continuie till the end
9,gcskqxru,No Chat,2,2,6,Stop,6,Zero,pass till the end
10,vmfijvxr,No Chat,2,1,7,Stop,1,Zero,stop
11,xyrv9ls7,No Chat,2,1,1,Stop,5,Baseline,I will aim to continue until round 5.
12,tx9i16r9,No Chat,2,2,1,,,Baseline,stop at 8
13,2n25a20e,No Chat,2,1,5,,,Zero,Pass
14,2avcbrcp,No Chat,2,2,7,,,Zero,"after previous round, I will continue to experiment as I'd like to know how the whole process goes"
15,3vny3tt7,No Chat,2,1,4,,,Linear,continue until round 5 if possible...
16,pfpl9l74,No Chat,2,2,4,Stop,2,Linear,Keep playing till I get as much as I can